symbol,entropy_window_patterns,information_correlation_vs_window24,forms,fit_silhouette,assignment_ari_vs_window24,assignment_overlap_bars,tail_supported_bars,tail_rate,transitions_per_100_bars
SPY,8,0.49242191716968786,2,0.327455,0.903016130939074,860,860,0.14069767441860465,3.026775320139697
SPY,12,0.6609295799149025,2,0.328615,0.9078119803023131,860,860,0.12325581395348838,3.2596041909196742
SPY,24,1.0,2,0.320191,1.0,860,860,0.1058139534883721,2.561117578579744
SPY,48,0.7174984243213346,2,0.321715,0.8778443700456825,860,860,0.16744186046511628,2.7939464493597206
SPY,96,0.5113483669321192,2,0.328019,0.8826698888897229,860,860,0.12093023255813953,2.7939464493597206
