dataset_id,horizon_step,reference_step,feature,comparison_bars,mae,rmse,iqr_normalized_mae,correlation,final_abs_error
spy_1m,1,1,pressure,371,0.0,0.0,0.0,0.9999999999999999,0.0
spy_1m,1,1,velocity,371,0.0,0.0,0.0,1.0,0.0
spy_1m,1,1,acceleration,371,0.0,0.0,0.0,0.9999999999999998,0.0
spy_1m,1,1,jerk,371,0.0,0.0,0.0,1.0,0.0
spy_1m,1,1,snap,371,0.0,0.0,0.0,0.9999999999999998,0.0
spy_1m,1,1,structure,371,0.0,0.0,0.0,0.9999999999999999,0.0
spy_1m,1,1,kinematics,371,0.0,0.0,0.0,0.9999999999999999,0.0
spy_1m,1,1,geometry,371,0.0,0.0,0.0,1.0,0.0
spy_1m,1,1,information,371,0.0,0.0,0.0,0.9999999999999998,0.0
spy_1m,1,1,propagation,371,0.0,0.0,0.0,0.9999999999999999,0.0
spy_1m,1,1,cascade_bias,371,0.0,0.0,0.0,1.0,0.0
spy_1m,1,1,scaling_exponent,371,0.0,0.0,0.0,1.0,0.0
spy_1m,2,1,pressure,371,0.0009975741239892182,0.0013648356239208625,0.007736131244584863,0.999955502873383,0.0002999999999999947
spy_1m,2,1,velocity,371,0.013587061994609167,0.017877711281002958,0.02046552492033313,0.9991654025957019,0.0378
spy_1m,2,1,acceleration,371,0.03657681940700809,0.046911185799335,0.08647002223878981,0.9909318825135053,0.0657
spy_1m,2,1,jerk,371,0.04912479784366576,0.06677184409929446,0.10871926047065567,0.9783916206258432,0.0948
spy_1m,2,1,snap,371,0.05973530997304582,0.08130783374001094,0.13034106474589968,0.96702218839687,0.19079999999999997
spy_1m,2,1,structure,371,0.0022595687331536385,0.0027522546503507554,0.03561180036491156,0.9991481788634348,0.0024000000000000132
spy_1m,2,1,kinematics,371,0.012223180592991916,0.01586298816525428,0.17486667515009904,0.9525942056184624,0.0121
spy_1m,2,1,geometry,371,0.01029622641509434,0.01298849688042993,0.18944298831820308,0.9440792371306006,0.003500000000000003
spy_1m,2,1,information,371,0.007507277628032346,0.009334612285623387,0.0657955970905552,0.9956209178542488,0.009599999999999997
spy_1m,2,1,propagation,371,0.021047708894878704,0.026266001412256858,0.21005697499878934,0.9721048152924034,0.0012999999999999678
spy_1m,2,1,cascade_bias,371,0.04406172506738545,0.058328684579235415,0.18642574600120776,0.9554210872122328,0.0018000000000000238
spy_1m,2,1,scaling_exponent,371,0.023922911051212935,0.03180415982556751,0.1770100706712019,0.9878150130378716,0.00880000000000003
spy_1m,4,1,pressure,371,0.0018695417789757413,0.00257389968117119,0.014498191384069338,0.9997826993338105,0.0012999999999999956
spy_1m,4,1,velocity,371,0.03778921832884097,0.0533543628239061,0.056920045682845255,0.9918142787833523,0.08360000000000001
spy_1m,4,1,acceleration,371,0.08651832884097034,0.11342043448853796,0.20453505636163202,0.9417742489535714,0.067
