dataset_id,input_window_bars,full_history_bars,comparison_tail_bars,feature_family,feature,mae,reference_iqr,iqr_normalized_mae,final_abs_error
spy_1m,60,499,32,derivative,pressure,0.07990480414154363,0.13048878959369958,0.6123499527456855,0.0019274138023290671
spy_1m,60,499,32,derivative,velocity,0.1725165172128769,0.7722638002211084,0.22339065635794833,0.0032918054942061847
spy_1m,60,499,32,derivative,acceleration,0.21464042225286223,0.5320532164748866,0.4034190859233222,0.033478954775146286
spy_1m,60,499,32,derivative,jerk,0.18543161637845343,0.5793769043868167,0.3200535177954753,0.01969071778804593
spy_1m,60,499,32,derivative,snap,0.23046766073264968,0.5393241505439985,0.4273267950270436,0.011375780427401727
spy_1m,60,499,32,stratum,structure,0.07600855471660173,0.06657567662384745,1.1416865523733246,0.0006449024604425202
spy_1m,60,499,32,stratum,kinematics,0.04110007374403997,0.08157694451687425,0.503819724892226,0.004451772910801177
spy_1m,60,499,32,stratum,geometry,0.04166732221318532,0.05689741336386955,0.7323236637615674,0.03970235196732669
spy_1m,60,499,32,stratum,information,0.08382749212641942,0.1112042910666563,0.753815264881936,0.010678140790317092
spy_1m,60,499,32,stratum,propagation,0.0949130593453816,0.1451760545711196,0.6537790245490183,0.03548740843510889
spy_1m,60,499,32,stratum,cascade_bias,0.11502572264125241,0.3026639100415363,0.38004439520214606,0.0019502708489576859
spy_1m,60,499,32,stratum,scaling_exponent,0.11580436015389946,0.15982671953009792,0.7245619536856706,4.440892098500626e-16
spy_1m,60,499,32,carrier,carrier_price_structure,0.07600855471660173,0.06657567662384745,1.1416865523733246,0.0006449024604425202
spy_1m,60,499,32,carrier,carrier_realized_volatility,0.5548722746608228,0.21982272357456345,2.524180692687174,0.48205946282067685
spy_1m,60,499,32,carrier,carrier_participation,0.3691333214128664,0.3094711506333319,1.1927875042873497,0.25211868520882713
spy_1m,60,499,32,carrier,carrier_liquidity_stress,0.0015792555267502163,0.00101752246813136,1.5520596116668137,0.0011481254512846206
spy_1m,60,499,32,carrier_ratio,ratio_realized_volatility,1.2807704206506467,0.21507774084931852,5.954918512687664,0.6568866445218448
spy_1m,60,499,32,carrier_ratio,ratio_participation,0.3868639451293526,0.3293712428400801,1.1745528899048026,0.25245966358223426
spy_1m,60,499,32,carrier_ratio,ratio_liquidity_stress,0.0015813751438749982,0.0010175168603949736,1.554151292648998,0.001150181539686601
spy_1m,96,499,32,derivative,pressure,0.00167917574307385,0.13048878959369958,0.012868352509838333,0.0007098440425002406
spy_1m,96,499,32,derivative,velocity,0.004095824556440545,0.7722638002211084,0.0053036599090464445,0.00039614935661330675
spy_1m,96,499,32,derivative,acceleration,0.0038356298883236353,0.5320532164748866,0.007209109482950905,0.002611911706749785
spy_1m,96,499,32,derivative,jerk,0.0043419268922962675,0.5793769043868167,0.007494131815439803,4.9157943517286196e-05
spy_1m,96,499,32,derivative,snap,0.002371366357998333,0.5393241505439985,0.004396922250943915,0.00013852812326908825
spy_1m,96,499,32,stratum,structure,0.0017484004864461947,0.06657567662384745,0.026261850800625836,2.6758953914796102e-05
spy_1m,96,499,32,stratum,kinematics,0.0009842018369425488,0.08157694451687425,0.012064705815734076,0.0003994483138481941
spy_1m,96,499,32,stratum,geometry,0.001161927951792591,0.05689741336386955,0.020421454739283935,0.0014256625480785212
