date,index,state_id,match,novelty,distance_tail_score,distance_tail_support,distance_tail_scope,outside_learned_range,transition_surprise,close,token
2025-05-09T04:00:00+00:00,449,F.001,0.3945,0.0,0.863636,65,state_conditional,False,0.0,556.51025390625,Sisude
2025-05-12T04:00:00+00:00,450,F.001,0.3895,0.0,0.863636,65,state_conditional,False,0.0,574.9015502929688,Sisude
2025-05-13T04:00:00+00:00,451,F.001,0.3853,0.0,0.833333,65,state_conditional,False,0.0,578.6982421875,Sisude
2025-05-14T04:00:00+00:00,452,F.001,0.336,0.1187,0.606061,65,state_conditional,False,0.0,579.437744140625,Sisude
2025-05-15T04:00:00+00:00,453,F.002,0.3066,0.2382,0.037736,52,state_conditional,True,-0.0,582.267822265625,Keseve
2025-05-16T04:00:00+00:00,454,F.002,0.3038,0.2503,0.037736,52,state_conditional,True,0.0,585.9559936523438,Keseve
2025-05-19T04:00:00+00:00,455,F.002,0.3207,0.1795,0.075472,52,state_conditional,False,0.0,586.596923828125,Keseve
2025-05-20T04:00:00+00:00,456,F.002,0.334,0.1264,0.113208,52,state_conditional,False,0.0,584.6246948242188,Keseve
2025-05-21T04:00:00+00:00,457,F.002,0.3162,0.198,0.056604,52,state_conditional,False,0.0,574.7732543945312,Keseve
2025-05-22T04:00:00+00:00,458,F.002,0.3278,0.151,0.113208,52,state_conditional,False,0.0,575.0001831054688,Keseve
2025-05-23T04:00:00+00:00,459,F.002,0.3189,0.1871,0.056604,52,state_conditional,False,0.0,571.0753784179688,Keseve
2025-05-27T04:00:00+00:00,460,F.002,0.3214,0.1766,0.09434,52,state_conditional,False,0.0,582.9482421875,Keseve
2025-05-28T04:00:00+00:00,461,F.002,0.3567,0.0403,0.150943,52,state_conditional,False,0.0,579.5757446289062,Keseve
2025-05-29T04:00:00+00:00,462,F.002,0.3425,0.0934,0.132075,52,state_conditional,False,0.0,581.8635864257812,Keseve
2025-05-30T04:00:00+00:00,463,F.002,0.3415,0.0975,0.132075,52,state_conditional,False,0.0,581.212646484375,Keseve
2025-06-02T04:00:00+00:00,464,F.002,0.3353,0.1212,0.113208,52,state_conditional,False,0.0,584.4866943359375,Keseve
2025-06-03T04:00:00+00:00,465,F.002,0.3238,0.1668,0.09434,52,state_conditional,False,0.0,587.8197631835938,Keseve
2025-06-04T04:00:00+00:00,466,F.002,0.2958,0.2851,0.037736,52,state_conditional,True,0.0,587.6619262695312,Keseve
2025-06-05T04:00:00+00:00,467,F.002,0.2848,0.3347,0.037736,52,state_conditional,True,0.0,584.8218994140625,Keseve
2025-06-06T04:00:00+00:00,468,F.002,0.291,0.3065,0.037736,52,state_conditional,True,0.0,590.8275146484375,Keseve
2025-06-09T04:00:00+00:00,469,F.002,0.2693,0.4079,0.018868,52,state_conditional,True,0.0,591.3599853515625,Keseve
2025-06-10T04:00:00+00:00,470,F.002,0.2589,0.4595,0.018868,52,state_conditional,True,0.0,594.7128295898438,Keseve
2025-06-11T04:00:00+00:00,471,F.002,0.2445,0.5342,0.018868,52,state_conditional,True,0.0,593.0166015625,Keseve
2025-06-12T04:00:00+00:00,472,F.002,0.2133,0.7131,0.018868,52,state_conditional,True,0.0,595.37353515625,Keseve
2025-06-13T04:00:00+00:00,473,F.002,0.2278,0.6267,0.018868,52,state_conditional,True,0.0,588.7171630859375,Keseve
2025-06-16T04:00:00+00:00,474,F.002,0.2222,0.6598,0.018868,52,state_conditional,True,0.0,594.318359375,Keseve
2025-06-17T04:00:00+00:00,475,F.002,0.2284,0.6236,0.018868,52,state_conditional,True,0.0,589.2398681640625,Keseve
2025-06-18T04:00:00+00:00,476,F.002,0.2054,0.7621,0.018868,52,state_conditional,True,0.0,589.1510009765625,Keseve
2025-06-20T04:00:00+00:00,477,F.002,0.201,0.7908,0.018868,52,state_conditional,True,0.0,587.7673950195312,Keseve
2025-06-23T04:00:00+00:00,478,F.002,0.2052,0.7637,0.018868,52,state_conditional,True,0.0,593.5730590820312,Keseve
2025-06-24T04:00:00+00:00,479,F.002,0.1911,0.8571,0.018868,52,state_conditional,True,0.0,600.1304321289062,Keseve
2025-06-25T04:00:00+00:00,480,F.002,0.1935,0.8401,0.018868,52,state_conditional,True,0.0,600.4666748046875,Keseve
2025-06-26T04:00:00+00:00,481,F.002,0.2029,0.7781,0.018868,52,state_conditional,True,0.0,605.1646118164062,Keseve
2025-06-27T04:00:00+00:00,482,F.002,0.1938,0.8384,0.018868,52,state_conditional,True,0.0,608.1712646484375,Keseve
2025-06-30T04:00:00+00:00,483,F.002,0.1886,0.8743,0.018868,52,state_conditional,True,0.0,611.0791015625,Keseve
2025-07-01T04:00:00+00:00,484,F.002,0.1738,0.9807,0.018868,52,state_conditional,True,0.0,610.8812866210938,Keseve
2025-07-02T04:00:00+00:00,485,F.002,0.176,0.9646,0.018868,52,state_conditional,True,0.0,613.650634765625,Keseve
2025-07-03T04:00:00+00:00,486,F.002,0.1802,0.9333,0.018868,52,state_conditional,True,0.0,618.4869995117188,Keseve
2025-07-07T04:00:00+00:00,487,F.002,0.1669,1.0,0.018868,52,state_conditional,True,0.0,613.8780517578125,Keseve
2025-07-08T04:00:00+00:00,488,F.002,0.1789,0.9429,0.018868,52,state_conditional,True,0.0,613.5418090820312,Keseve
2025-07-09T04:00:00+00:00,489,F.002,0.192,0.8506,0.018868,52,state_conditional,True,0.0,617.2210693359375,Keseve
2025-07-10T04:00:00+00:00,490,F.002,0.1928,0.8455,0.018868,52,state_conditional,True,0.0,618.9617919921875,Keseve
2025-07-11T04:00:00+00:00,491,F.002,0.1819,0.921,0.018868,52,state_conditional,True,0.0,616.7857666015625,Keseve
2025-07-14T04:00:00+00:00,492,F.002,0.185,0.8988,0.018868,52,state_conditional,True,0.0,617.9628295898438,Keseve
2025-07-15T04:00:00+00:00,493,F.002,0.1821,0.9201,0.018868,52,state_conditional,True,0.0,615.3220825195312,Keseve
2025-07-16T04:00:00+00:00,494,F.002,0.1535,1.0,0.018868,52,state_conditional,True,0.0,617.3792724609375,Keseve
2025-07-17T04:00:00+00:00,495,F.002,0.1683,1.0,0.018868,52,state_conditional,True,0.0,621.1573486328125,Keseve
2025-07-18T04:00:00+00:00,496,F.002,0.1809,0.9281,0.018868,52,state_conditional,True,0.0,620.7025146484375,Keseve
2025-07-21T04:00:00+00:00,497,F.002,0.1766,0.9599,0.018868,52,state_conditional,True,0.0,621.87939453125,Keseve
2025-07-22T04:00:00+00:00,498,F.002,0.1614,1.0,0.018868,52,state_conditional,True,0.0,621.9684448242188,Keseve
2025-07-23T04:00:00+00:00,499,F.002,0.1701,1.0,0.018868,52,state_conditional,True,0.0,627.2598266601562,Keseve
2025-07-24T04:00:00+00:00,500,F.002,0.1762,0.9628,0.018868,52,state_conditional,True,0.0,627.4674682617188,Keseve
2025-07-25T04:00:00+00:00,501,F.002,0.1761,0.9634,0.018868,52,state_conditional,True,0.0,630.1181030273438,Keseve
2025-07-28T04:00:00+00:00,502,F.002,0.1738,0.9809,0.018868,52,state_conditional,True,0.0,629.9598388671875,Keseve
2025-07-29T04:00:00+00:00,503,F.002,0.1715,0.9986,0.018868,52,state_conditional,True,0.0,628.2982788085938,Keseve
2025-07-30T04:00:00+00:00,504,F.002,0.1598,1.0,0.018868,52,state_conditional,True,0.0,627.5070190429688,Keseve
2025-07-31T04:00:00+00:00,505,F.002,0.1627,1.0,0.018868,52,state_conditional,True,0.0,625.1531372070312,Keseve
2025-08-01T04:00:00+00:00,506,F.002,0.147,1.0,0.018868,52,state_conditional,True,0.0,614.9066162109375,Keseve
2025-08-04T04:00:00+00:00,507,F.002,0.1849,0.8997,0.018868,52,state_conditional,True,0.0,624.2529907226562,Keseve
2025-08-05T04:00:00+00:00,508,F.002,0.2011,0.7902,0.018868,52,state_conditional,True,0.0,621.0880737304688,Keseve
2025-08-06T04:00:00+00:00,509,F.002,0.2024,0.7813,0.018868,52,state_conditional,True,0.0,625.8455200195312,Keseve
2025-08-07T04:00:00+00:00,510,F.002,0.2074,0.7497,0.018868,52,state_conditional,True,0.0,625.3212280273438,Keseve
2025-08-08T04:00:00+00:00,511,F.002,0.2274,0.6294,0.018868,52,state_conditional,True,0.0,630.1972045898438,Keseve
2025-08-11T04:00:00+00:00,512,F.002,0.2333,0.5958,0.018868,52,state_conditional,True,0.0,628.9510498046875,Keseve
2025-08-12T04:00:00+00:00,513,F.002,0.2334,0.5953,0.018868,52,state_conditional,True,0.0,635.6468505859375,Keseve
2025-08-13T04:00:00+00:00,514,F.002,0.2535,0.4871,0.018868,52,state_conditional,True,0.0,637.8228149414062,Keseve
2025-08-14T04:00:00+00:00,515,F.002,0.2425,0.5454,0.018868,52,state_conditional,True,0.0,637.882080078125,Keseve
2025-08-15T04:00:00+00:00,516,F.002,0.2619,0.4443,0.018868,52,state_conditional,True,0.0,636.388671875,Keseve
2025-08-18T04:00:00+00:00,517,F.002,0.2608,0.4501,0.018868,52,state_conditional,True,0.0,636.2501220703125,Keseve
2025-08-19T04:00:00+00:00,518,F.002,0.275,0.3804,0.018868,52,state_conditional,True,0.0,632.7984008789062,Keseve
2025-08-20T04:00:00+00:00,519,F.002,0.2556,0.4765,0.018868,52,state_conditional,True,0.0,631.116943359375,Keseve
2025-08-21T04:00:00+00:00,520,F.002,0.2594,0.457,0.018868,52,state_conditional,True,0.0,628.5851440429688,Keseve
2025-08-22T04:00:00+00:00,521,F.002,0.2981,0.2749,0.037736,52,state_conditional,True,0.0,638.2381591796875,Keseve
2025-08-25T04:00:00+00:00,522,F.002,0.3132,0.2103,0.056604,52,state_conditional,False,0.0,635.4292602539062,Keseve
2025-08-26T04:00:00+00:00,523,F.002,0.3311,0.1379,0.113208,52,state_conditional,False,0.0,638.0897827148438,Keseve
2025-08-27T04:00:00+00:00,524,F.002,0.3261,0.1578,0.113208,52,state_conditional,False,0.0,639.5436401367188,Keseve
2025-08-28T04:00:00+00:00,525,F.002,0.3312,0.1374,0.113208,52,state_conditional,False,0.0,641.80859375,Keseve
2025-08-29T04:00:00+00:00,526,F.002,0.3286,0.1478,0.113208,52,state_conditional,False,0.0,637.98095703125,Keseve
2025-09-02T04:00:00+00:00,527,F.002,0.2894,0.314,0.037736,52,state_conditional,True,0.0,633.2533569335938,Keseve
2025-09-03T04:00:00+00:00,528,F.002,0.2963,0.2828,0.037736,52,state_conditional,True,0.0,636.6853637695312,Keseve
2025-09-04T04:00:00+00:00,529,F.002,0.3446,0.0853,0.132075,52,state_conditional,False,0.0,642.0064086914062,Keseve
2025-09-05T04:00:00+00:00,530,F.002,0.338,0.1109,0.132075,52,state_conditional,False,0.0,640.14697265625,Keseve
2025-09-08T04:00:00+00:00,531,F.002,0.3536,0.0517,0.150943,52,state_conditional,False,0.0,641.7196044921875,Keseve
2025-09-09T04:00:00+00:00,532,F.002,0.3578,0.0363,0.150943,52,state_conditional,False,0.0,643.2031860351562,Keseve
2025-09-10T04:00:00+00:00,533,F.002,0.3247,0.1635,0.09434,52,state_conditional,False,0.0,645.0625610351562,Keseve
2025-09-11T04:00:00+00:00,534,F.002,0.34,0.1032,0.132075,52,state_conditional,False,0.0,650.423095703125,Keseve
2025-09-12T04:00:00+00:00,535,F.002,0.3131,0.2109,0.056604,52,state_conditional,False,0.0,650.2055053710938,Keseve
2025-09-15T04:00:00+00:00,536,F.002,0.3264,0.1565,0.113208,52,state_conditional,False,0.0,653.6671752929688,Keseve
2025-09-16T04:00:00+00:00,537,F.002,0.309,0.2283,0.037736,52,state_conditional,True,0.0,652.7671508789062,Keseve
2025-09-17T04:00:00+00:00,538,F.002,0.3171,0.1944,0.056604,52,state_conditional,False,0.0,651.9561157226562,Keseve
2025-09-18T04:00:00+00:00,539,F.002,0.2942,0.2922,0.037736,52,state_conditional,True,0.0,655.00244140625,Keseve
2025-09-19T04:00:00+00:00,540,F.002,0.3285,0.1481,0.113208,52,state_conditional,False,0.0,658.2465209960938,Keseve
2025-09-22T04:00:00+00:00,541,F.002,0.3211,0.1779,0.09434,52,state_conditional,False,0.0,661.3607177734375,Keseve
2025-09-23T04:00:00+00:00,542,F.002,0.3301,0.1419,0.113208,52,state_conditional,False,0.0,657.7605590820312,Keseve
2025-09-24T04:00:00+00:00,543,F.002,0.2916,0.3038,0.037736,52,state_conditional,True,0.0,655.6677856445312,Keseve
2025-09-25T04:00:00+00:00,544,F.002,0.2874,0.3231,0.037736,52,state_conditional,True,0.0,652.6429443359375,Keseve
2025-09-26T04:00:00+00:00,545,F.002,0.3002,0.2659,0.037736,52,state_conditional,True,0.0,656.3819580078125,Keseve
2025-09-29T04:00:00+00:00,546,F.002,0.3044,0.2478,0.037736,52,state_conditional,True,0.0,658.2266845703125,Keseve
2025-09-30T04:00:00+00:00,547,F.002,0.3063,0.2396,0.037736,52,state_conditional,True,0.0,660.7061157226562,Keseve
2025-10-01T04:00:00+00:00,548,F.002,0.3054,0.2435,0.037736,52,state_conditional,True,0.0,662.9574584960938,Keseve
2025-10-02T04:00:00+00:00,549,F.002,0.3039,0.2499,0.037736,52,state_conditional,True,0.0,663.7210693359375,Keseve
2025-10-03T04:00:00+00:00,550,F.002,0.294,0.2934,0.037736,52,state_conditional,True,0.0,663.7112426757812,Keseve
2025-10-06T04:00:00+00:00,551,F.002,0.2991,0.2706,0.037736,52,state_conditional,True,0.0,666.0914916992188,Keseve
2025-10-07T04:00:00+00:00,552,F.002,0.299,0.2712,0.037736,52,state_conditional,True,0.0,663.6219482421875,Keseve
2025-10-08T04:00:00+00:00,553,F.002,0.3149,0.2033,0.056604,52,state_conditional,False,0.0,667.5791625976562,Keseve
2025-10-09T04:00:00+00:00,554,F.002,0.318,0.1906,0.056604,52,state_conditional,False,0.0,665.6452026367188,Keseve
2025-10-10T04:00:00+00:00,555,F.002,0.3039,0.2499,0.037736,52,state_conditional,True,0.0,647.6542358398438,Keseve
2025-10-13T04:00:00+00:00,556,F.002,0.3292,0.1455,0.113208,52,state_conditional,False,0.0,657.5919189453125,Keseve
2025-10-14T04:00:00+00:00,557,F.002,0.3694,0.0,0.207547,52,state_conditional,False,0.0,656.78857421875,Keseve
