timeframe,bars,evaluation_bars,coverage_days,finite_feature_share,pressure_median,pressure_iqr,pressure_lag1_autocorrelation,median_abs_pressure_change,median_abs_velocity,structure_median,geometry_median,information_median,phase_transitions_per_100_bars,median_phase_run_bars,median_phase_run_nominal_minutes,positive_phase_share,neutral_phase_share,negative_phase_share
1m,499,403,1.075,1.0,0.0141,0.12945,0.9962724698856393,0.005550000000000003,0.3768,0.4483,0.3757,0.4285,3.9800995024875623,12.0,12.0,0.45161290322580644,0.2679900744416873,0.2803970223325062
5m,499,403,8.833333333333334,1.0,-0.0061,0.0995,0.9958820231772406,0.005600000000000015,0.3819,0.4403,0.3761,0.4491,5.472636815920398,9.0,45.0,0.31265508684863524,0.25806451612903225,0.4292803970223325
15m,499,403,28.041666666666668,1.0,0.0189,0.16524999999999998,0.9957149872345187,0.007699999999999993,0.406,0.4669,0.3786,0.4263,4.975124378109452,15.0,225.0,0.49379652605459057,0.17866004962779156,0.32754342431761785
30m,499,403,56.8125,1.0,-0.0001,0.14655,0.9964531951645745,0.006349999999999982,0.3763,0.4648,0.3808,0.4417,5.472636815920398,9.0,270.0,0.3746898263027295,0.1662531017369727,0.45905707196029777
1h,499,403,104.04166666666667,1.0,0.046,0.1626,0.9960611327947718,0.007000000000000003,0.3806,0.4718,0.3811,0.4525,4.72636815920398,8.5,510.0,0.6377171215880894,0.11662531017369727,0.2456575682382134
2h,499,403,182.875,1.0,0.035,0.21965,0.9975798616100613,0.007600000000000002,0.3782,0.4659,0.384,0.4628,2.985074626865672,12.0,1440.0,0.5583126550868487,0.14640198511166252,0.29528535980148884
4h,499,403,365.0,1.0,0.0247,0.11945,0.9969653450534861,0.0049,0.3554,0.4362,0.3744,0.4887,5.721393034825871,10.5,2520.0,0.5359801488833746,0.3052109181141439,0.1588089330024814
1D,749,653,1091.0,1.0,0.1111,0.1856,0.9965135962340594,0.0069000000000000086,0.3637,0.4954,0.3845,0.4529,3.9877300613496933,8.0,3120.0,0.7473200612557427,0.14241960183767227,0.11026033690658499
1W,499,403,3485.9583333333335,1.0,0.118,0.2089,0.9953626079227188,0.006699999999999998,0.3735,0.4935,0.3806,0.4394,2.985074626865672,15.0,29250.0,0.7617866004962779,0.13895781637717122,0.09925558312655088
