dataset_id,symbol,timeframe,model_id,outcome,horizon_bars,candidate_origins,scored,pending_outcome,model_unavailable,coverage,mean_absolute_error,median_absolute_error,root_mean_squared_error,mean_signed_error,interval_90_supported,interval_90_empirical_coverage,interval_90_mean_width,decision_eligible,interpretation
btc_usd_1d,BTC-USD,1D,gaussian_hmm_2state,forward_return,20,110,109,1,0,0.9909090909,0.1148168038,0.08528672979,0.1599978839,0.001713571789,109,0.880733945,0.499384674,False,retrospective_development_diagnostic
btc_usd_1d,BTC-USD,1D,gaussian_hmm_2state,pressure_aligned_maximum_adverse_excursion,1,110,110,0,0,1,0.01683631471,0.01371286689,0.02526387489,0.0002662727469,110,0.8818181818,0.05765594711,False,retrospective_development_diagnostic
btc_usd_1d,BTC-USD,1D,gaussian_hmm_2state,pressure_aligned_maximum_adverse_excursion,5,110,110,0,0,1,0.03226703797,0.02419765332,0.04784508495,0.0004700305597,110,0.8909090909,0.1293459041,False,retrospective_development_diagnostic
btc_usd_1d,BTC-USD,1D,gaussian_hmm_2state,pressure_aligned_maximum_adverse_excursion,20,110,109,1,0,0.9909090909,0.07123237079,0.05074194869,0.09391153793,0.001247891375,109,0.880733945,0.2665385965,False,retrospective_development_diagnostic
btc_usd_1d,BTC-USD,1D,market_field_dictionary,forward_realized_variation,1,110,110,0,0,1,0.01633784244,0.01684845136,0.02081991143,0.004016820727,110,0.9181818182,0.05666530899,False,retrospective_development_diagnostic
btc_usd_1d,BTC-USD,1D,market_field_dictionary,forward_realized_variation,5,110,110,0,0,1,0.02938636012,0.02713244632,0.03456234322,0.01098669351,110,0.8909090909,0.1039528067,False,retrospective_development_diagnostic
btc_usd_1d,BTC-USD,1D,market_field_dictionary,forward_realized_variation,20,110,109,1,0,0.9909090909,0.04609667152,0.04531472283,0.0537201043,0.02237728891,109,0.8532110092,0.1649701822,False,retrospective_development_diagnostic
btc_usd_1d,BTC-USD,1D,market_field_dictionary,forward_return,1,110,110,0,0,1,0.01957900501,0.01342729078,0.02817188323,0.003508781628,110,0.9,0.09580641758,False,retrospective_development_diagnostic
btc_usd_1d,BTC-USD,1D,market_field_dictionary,forward_return,5,110,110,0,0,1,0.04576756843,0.02905814162,0.0650120161,0.003824893005,110,0.9272727273,0.2233718012,False,retrospective_development_diagnostic
btc_usd_1d,BTC-USD,1D,market_field_dictionary,forward_return,20,110,109,1,0,0.9909090909,0.1147548349,0.08225882204,0.1598659552,0.00315866662,109,0.880733945,0.4991381105,False,retrospective_development_diagnostic
btc_usd_1d,BTC-USD,1D,market_field_dictionary,pressure_aligned_maximum_adverse_excursion,1,110,110,0,0,1,0.0177340116,0.01529074669,0.02571380659,-0.0001094312401,110,0.8818181818,0.05435712941,False,retrospective_development_diagnostic
btc_usd_1d,BTC-USD,1D,market_field_dictionary,pressure_aligned_maximum_adverse_excursion,5,110,110,0,0,1,0.03202918152,0.02189082926,0.04715573911,0.0001464242377,110,0.9,0.1278828853,False,retrospective_development_diagnostic
btc_usd_1d,BTC-USD,1D,market_field_dictionary,pressure_aligned_maximum_adverse_excursion,20,110,109,1,0,0.9909090909,0.07055699087,0.04888690073,0.09311488582,0.001344748588,109,0.8899082569,0.2672828685,False,retrospective_development_diagnostic
btc_usd_1d,BTC-USD,1D,market_field_minus_field_transform,forward_realized_variation,1,110,110,0,0,1,0.01637955799,0.01612039214,0.02134456265,0.005592181319,110,0.9090909091,0.06092864874,False,retrospective_development_diagnostic
btc_usd_1d,BTC-USD,1D,market_field_minus_field_transform,forward_realized_variation,5,110,110,0,0,1,0.03081638086,0.03081950349,0.03557737325,0.01348553718,110,0.8818181818,0.1064617885,False,retrospective_development_diagnostic
btc_usd_1d,BTC-USD,1D,market_field_minus_field_transform,forward_realized_variation,20,110,109,1,0,0.9909090909,0.04801891308,0.04312367653,0.05830167586,0.02087294932,109,0.8440366972,0.1761981188,False,retrospective_development_diagnostic
btc_usd_1d,BTC-USD,1D,market_field_minus_field_transform,forward_return,1,110,110,0,0,1,0.02008192808,0.01389980321,0.02853856212,0.003737355484,110,0.9,0.09556529094,False,retrospective_development_diagnostic
btc_usd_1d,BTC-USD,1D,market_field_minus_field_transform,forward_return,5,110,110,0,0,1,0.0470432498,0.03649323545,0.06576741793,0.003872014766,110,0.9272727273,0.2272644429,False,retrospective_development_diagnostic
btc_usd_1d,BTC-USD,1D,market_field_minus_field_transform,forward_return,20,110,109,1,0,0.9909090909,0.1193079111,0.08836445041,0.1624488199,0.003693348628,109,0.880733945,0.5166349155,False,retrospective_development_diagnostic
btc_usd_1d,BTC-USD,1D,market_field_minus_field_transform,pressure_aligned_maximum_adverse_excursion,1,110,110,0,0,1,0.01778403357,0.01516694261,0.02550968397,-0.002553519723,110,0.8636363636,0.05882658862,False,retrospective_development_diagnostic
btc_usd_1d,BTC-USD,1D,market_field_minus_field_transform,pressure_aligned_maximum_adverse_excursion,5,110,110,0,0,1,0.03263556815,0.0210661475,0.04795142989,-0.004127360047,110,0.9,0.134151352,False,retrospective_development_diagnostic
btc_usd_1d,BTC-USD,1D,market_field_minus_field_transform,pressure_aligned_maximum_adverse_excursion,20,110,109,1,0,0.9909090909,0.07149679208,0.05449026556,0.0942225579,-0.001465160045,109,0.8623853211,0.2669459041,False,retrospective_development_diagnostic
btc_usd_1d,BTC-USD,1D,market_field_minus_ohlcv_carrier,forward_realized_variation,1,110,110,0,0,1,0.01634163805,0.01591901777,0.02081100648,0.005636456527,110,0.9272727273,0.06182588217,False,retrospective_development_diagnostic
btc_usd_1d,BTC-USD,1D,market_field_minus_ohlcv_carrier,forward_realized_variation,5,110,110,0,0,1,0.03100447849,0.02931087262,0.03619693746,0.01448220727,110,0.8909090909,0.1069313991,False,retrospective_development_diagnostic
btc_usd_1d,BTC-USD,1D,market_field_minus_ohlcv_carrier,forward_realized_variation,20,110,109,1,0,0.9909090909,0.04792381223,0.0469020451,0.05649143958,0.02750179326,109,0.8899082569,0.1702953245,False,retrospective_development_diagnostic
btc_usd_1d,BTC-USD,1D,market_field_minus_ohlcv_carrier,forward_return,1,110,110,0,0,1,0.01991606688,0.0138868042,0.0284285594,0.003159621524,110,0.9090909091,0.09570878506,False,retrospective_development_diagnostic
btc_usd_1d,BTC-USD,1D,market_field_minus_ohlcv_carrier,forward_return,5,110,110,0,0,1,0.0481098488,0.03352836052,0.06731170053,0.003264175102,110,0.9181818182,0.2267378841,False,retrospective_development_diagnostic
btc_usd_1d,BTC-USD,1D,market_field_minus_ohlcv_carrier,forward_return,20,110,109,1,0,0.9909090909,0.1226237928,0.08667567855,0.1647789209,0.009363778141,109,0.8990825688,0.5175734317,False,retrospective_development_diagnostic
btc_usd_1d,BTC-USD,1D,market_field_minus_ohlcv_carrier,pressure_aligned_maximum_adverse_excursion,1,110,110,0,0,1,0.01793387786,0.01463996121,0.02548549001,-0.001292452799,110,0.8727272727,0.05833306673,False,retrospective_development_diagnostic
btc_usd_1d,BTC-USD,1D,market_field_minus_ohlcv_carrier,pressure_aligned_maximum_adverse_excursion,5,110,110,0,0,1,0.03206873299,0.02172121785,0.04757748884,-0.0005283617939,110,0.8909090909,0.1327388331,False,retrospective_development_diagnostic
btc_usd_1d,BTC-USD,1D,market_field_minus_ohlcv_carrier,pressure_aligned_maximum_adverse_excursion,20,110,109,1,0,0.9909090909,0.07199208977,0.05423092185,0.09477247644,0.003039803631,109,0.8623853211,0.2698619182,False,retrospective_development_diagnostic
btc_usd_1d,BTC-USD,1D,market_field_minus_pressure_state,forward_realized_variation,1,110,110,0,0,1,0.01587352911,0.01579499446,0.02051574919,0.005834212082,110,0.9181818182,0.06041369387,False,retrospective_development_diagnostic
btc_usd_1d,BTC-USD,1D,market_field_minus_pressure_state,forward_realized_variation,5,110,110,0,0,1,0.03066428646,0.02793150988,0.03509440725,0.01439816085,110,0.9181818182,0.1086620178,False,retrospective_development_diagnostic
btc_usd_1d,BTC-USD,1D,market_field_minus_pressure_state,forward_realized_variation,20,110,109,1,0,0.9909090909,0.04809443902,0.0409101611,0.05828834472,0.02261365601,109,0.8532110092,0.1755465505,False,retrospective_development_diagnostic
btc_usd_1d,BTC-USD,1D,market_field_minus_pressure_state,forward_return,1,110,110,0,0,1,0.0198385742,0.01347336021,0.02807891879,0.002999380309,110,0.9,0.09584775526,False,retrospective_development_diagnostic
btc_usd_1d,BTC-USD,1D,market_field_minus_pressure_state,forward_return,5,110,110,0,0,1,0.0461304064,0.03333709103,0.06657949236,0.002048570547,110,0.9181818182,0.2253493379,False,retrospective_development_diagnostic
btc_usd_1d,BTC-USD,1D,market_field_minus_pressure_state,forward_return,20,110,109,1,0,0.9909090909,0.1228550142,0.09102109714,0.1666900779,0.00195237219,109,0.871559633,0.5203076229,False,retrospective_development_diagnostic
btc_usd_1d,BTC-USD,1D,market_field_minus_pressure_state,pressure_aligned_maximum_adverse_excursion,1,110,110,0,0,1,0.01772879711,0.0159134804,0.02513216783,-0.002448163632,110,0.8727272727,0.05917508063,False,retrospective_development_diagnostic
btc_usd_1d,BTC-USD,1D,market_field_minus_pressure_state,pressure_aligned_maximum_adverse_excursion,5,110,110,0,0,1,0.03294395323,0.02260506291,0.04739366887,-0.004509985885,110,0.9,0.1357521078,False,retrospective_development_diagnostic
btc_usd_1d,BTC-USD,1D,market_field_minus_pressure_state,pressure_aligned_maximum_adverse_excursion,20,110,109,1,0,0.9909090909,0.07110806438,0.05402335562,0.09388214124,-0.002910400992,109,0.9174311927,0.2753649696,False,retrospective_development_diagnostic
btc_usd_1d,BTC-USD,1D,market_field_raw_ridge,forward_realized_variation,1,110,110,0,0,1,0.01619674807,0.0157964667,0.0211433507,0.006007382819,110,0.8909090909,0.06157525775,False,retrospective_development_diagnostic
btc_usd_1d,BTC-USD,1D,market_field_raw_ridge,forward_realized_variation,5,110,110,0,0,1,0.03180320365,0.0308285391,0.03676745206,0.01440670936,110,0.9,0.1095027312,False,retrospective_development_diagnostic
btc_usd_1d,BTC-USD,1D,market_field_raw_ridge,forward_realized_variation,20,110,109,1,0,0.9909090909,0.04963533285,0.04508479926,0.06036600065,0.02243341722,109,0.8165137615,0.1803176704,False,retrospective_development_diagnostic
btc_usd_1d,BTC-USD,1D,market_field_raw_ridge,forward_return,1,110,110,0,0,1,0.02001188354,0.01397261632,0.02828427626,0.003151209457,110,0.9090909091,0.09589652173,False,retrospective_development_diagnostic
btc_usd_1d,BTC-USD,1D,market_field_raw_ridge,forward_return,5,110,110,0,0,1,0.04738271623,0.03476014718,0.06691976943,0.002460652525,110,0.9181818182,0.2279392457,False,retrospective_development_diagnostic
btc_usd_1d,BTC-USD,1D,market_field_raw_ridge,forward_return,20,110,109,1,0,0.9909090909,0.1229379716,0.09220081177,0.165527604,0.004712736152,109,0.8899082569,0.5299177115,False,retrospective_development_diagnostic
btc_usd_1d,BTC-USD,1D,market_field_raw_ridge,pressure_aligned_maximum_adverse_excursion,1,110,110,0,0,1,0.01785996792,0.01570512331,0.02549900146,-0.002546122536,110,0.8818181818,0.05950871022,False,retrospective_development_diagnostic
btc_usd_1d,BTC-USD,1D,market_field_raw_ridge,pressure_aligned_maximum_adverse_excursion,5,110,110,0,0,1,0.0333028809,0.02392038632,0.04859988723,-0.004087541672,110,0.9,0.1379550913,False,retrospective_development_diagnostic
btc_usd_1d,BTC-USD,1D,market_field_raw_ridge,pressure_aligned_maximum_adverse_excursion,20,110,109,1,0,0.9909090909,0.07215688024,0.05580647926,0.09603104637,-0.002361920926,109,0.880733945,0.27341415,False,retrospective_development_diagnostic
btc_usd_1d,BTC-USD,1D,naive_fit_mean,forward_realized_variation,1,110,110,0,0,1,0.01636717585,0.01684845136,0.0208484884,0.004176134635,110,0.9181818182,0.05632194576,False,retrospective_development_diagnostic
btc_usd_1d,BTC-USD,1D,naive_fit_mean,forward_realized_variation,5,110,110,0,0,1,0.02943253983,0.02713244632,0.03457933363,0.01136319078,110,0.8909090909,0.1039207889,False,retrospective_development_diagnostic
btc_usd_1d,BTC-USD,1D,naive_fit_mean,forward_realized_variation,20,110,109,1,0,0.9909090909,0.04612127579,0.04531472283,0.05363967259,0.02277970938,109,0.8532110092,0.1650621679,False,retrospective_development_diagnostic
btc_usd_1d,BTC-USD,1D,naive_fit_mean,forward_return,1,110,110,0,0,1,0.01958116265,0.01342729078,0.02817059929,0.003508407978,110,0.9,0.09580624561,False,retrospective_development_diagnostic
btc_usd_1d,BTC-USD,1D,naive_fit_mean,forward_return,5,110,110,0,0,1,0.0457606446,0.02905814162,0.06501429516,0.003764612152,110,0.9272727273,0.2234294871,False,retrospective_development_diagnostic
btc_usd_1d,BTC-USD,1D,naive_fit_mean,forward_return,20,110,109,1,0,0.9909090909,0.1149640581,0.08225882204,0.1600821011,0.002777299037,109,0.880733945,0.499541812,False,retrospective_development_diagnostic
btc_usd_1d,BTC-USD,1D,naive_fit_mean,pressure_aligned_maximum_adverse_excursion,1,110,110,0,0,1,0.01775223754,0.01567042343,0.02565978781,-0.0002630201997,110,0.8818181818,0.05407504302,False,retrospective_development_diagnostic
btc_usd_1d,BTC-USD,1D,naive_fit_mean,pressure_aligned_maximum_adverse_excursion,5,110,110,0,0,1,0.03202616592,0.02248142874,0.0470522001,-0.0001754677478,110,0.9,0.1273540822,False,retrospective_development_diagnostic
btc_usd_1d,BTC-USD,1D,naive_fit_mean,pressure_aligned_maximum_adverse_excursion,20,110,109,1,0,0.9909090909,0.07051539438,0.04860891454,0.09294278808,0.001047927147,109,0.8899082569,0.2668783332,False,retrospective_development_diagnostic
btc_usd_1d,BTC-USD,1D,naive_zero,forward_realized_variation,1,110,110,0,0,1,0.01957906668,0.01319980733,0.02830416895,-0.01957906668,110,0.9,0.09567150003,False,retrospective_development_diagnostic
btc_usd_1d,BTC-USD,1D,naive_zero,forward_realized_variation,5,110,110,0,0,1,0.05646656423,0.04775989746,0.06531816368,-0.05646656423,110,0.9,0.1977205284,False,retrospective_development_diagnostic
btc_usd_1d,BTC-USD,1D,naive_zero,forward_realized_variation,20,110,109,1,0,0.9909090909,0.1251476927,0.1153694332,0.1346449224,-0.1251476927,109,0.871559633,0.372098512,False,retrospective_development_diagnostic
btc_usd_1d,BTC-USD,1D,naive_zero,forward_return,1,110,110,0,0,1,0.01948019561,0.01320214037,0.02799879388,0.002144454564,110,0.9090909091,0.09578600855,False,retrospective_development_diagnostic
btc_usd_1d,BTC-USD,1D,naive_zero,forward_return,5,110,110,0,0,1,0.04585598635,0.03379082417,0.06480046576,-0.003283781664,110,0.9181818182,0.2238742585,False,retrospective_development_diagnostic
btc_usd_1d,BTC-USD,1D,naive_zero,forward_return,20,110,109,1,0,0.9909090909,0.1120813749,0.07848806066,0.159021261,-0.02890058701,109,0.8899082569,0.5085927517,False,retrospective_development_diagnostic
